strategy_a,strategy_b,metric,n_pairs,median_a,median_b,p_value,p_corrected_holm,effect_size_r,significant,winner
fixed_size,recursive,faithfulness,231,1.0,1.0,0.002478,0.01487,0.9057,True,recursive
fixed_size,sentence,faithfulness,228,1.0,1.0,0.012149,0.060744,0.8987,False,—
fixed_size,semantic,faithfulness,171,1.0,1.0,0.055898,0.223593,0.8939,False,—
recursive,semantic,faithfulness,171,1.0,1.0,0.232091,0.696272,0.8976,False,—
recursive,sentence,faithfulness,228,1.0,1.0,0.258099,0.516198,0.9123,False,—
semantic,sentence,faithfulness,169,1.0,1.0,0.572036,0.572036,0.8793,False,—
fixed_size,sentence,answer_relevancy,230,0.6918,0.7213,0.035901,0.215409,0.4306,False,—
fixed_size,recursive,answer_relevancy,231,0.6912,0.7197,0.183987,0.919936,0.3516,False,—
fixed_size,semantic,answer_relevancy,173,0.7157,0.7291,0.267124,1.0,0.4406,False,—
semantic,sentence,answer_relevancy,172,0.7292,0.7276,0.742687,1.0,0.282,False,—
recursive,sentence,answer_relevancy,230,0.7203,0.7213,0.783647,1.0,0.3042,False,—
recursive,semantic,answer_relevancy,173,0.7243,0.7291,0.92294,0.92294,0.3317,False,—
recursive,sentence,context_precision,221,0.9167,1.0,0.010881,0.065287,0.3981,False,—
fixed_size,recursive,context_precision,231,0.95,0.9167,0.122542,0.612711,0.3376,False,—
recursive,semantic,context_precision,135,0.8875,0.95,0.12712,0.508481,0.4464,False,—
semantic,sentence,context_precision,129,0.9167,1.0,0.330287,0.99086,0.3618,False,—
fixed_size,semantic,context_precision,135,0.9167,0.95,0.342448,0.684895,0.3122,False,—
fixed_size,sentence,context_precision,221,0.9167,1.0,0.743962,0.743962,0.2957,False,—
recursive,sentence,context_recall,229,1.0,1.0,0.001181,0.007085,0.9766,True,sentence
fixed_size,recursive,context_recall,231,1.0,1.0,0.091626,0.458129,0.9593,False,—
fixed_size,sentence,context_recall,229,1.0,1.0,0.112185,0.448738,0.9755,False,—
recursive,semantic,context_recall,172,1.0,1.0,0.194423,0.583269,0.9564,False,—
semantic,sentence,context_recall,170,1.0,1.0,0.384178,0.768356,0.9632,False,—
fixed_size,semantic,context_recall,172,1.0,1.0,0.73245,0.73245,0.9554,False,—
semantic,sentence,answer_correctness,138,0.5992,0.7001,0.000253,0.001521,0.5254,True,sentence
fixed_size,sentence,answer_correctness,221,0.6349,0.6794,0.014455,0.072276,0.3301,False,—
recursive,sentence,answer_correctness,221,0.6249,0.6794,0.066656,0.266626,0.36,False,—
recursive,semantic,answer_correctness,147,0.676,0.6085,0.167054,0.501161,0.3688,False,—
fixed_size,recursive,answer_correctness,231,0.638,0.6507,0.254805,0.50961,0.226,False,—
fixed_size,semantic,answer_correctness,147,0.638,0.6085,0.428526,0.428526,0.2341,False,—
semantic,sentence,mrr,231,0.0,0.0,0.095372,0.572233,0.9447,False,—
recursive,semantic,mrr,231,0.0,0.0,0.254631,1.0,0.9628,False,—
fixed_size,sentence,mrr,231,0.0,0.0,0.309105,1.0,0.9419,False,—
recursive,sentence,mrr,231,0.0,0.0,0.533868,1.0,0.9499,False,—
fixed_size,semantic,mrr,231,0.0,0.0,0.543878,1.0,0.944,False,—
fixed_size,recursive,mrr,231,0.0,0.0,0.776375,0.776375,0.9389,False,—
